,name,manhat_pp,zero_pp,manhat_pp_sm,zero_pp_sm,dist,dist^2,dist_sm,dist_sm^2
143,TRENDA,0.040524976563546096,0.34693877551020386,0.06489197813976728,0.3382252333767353,0.736842105,0.589473684,0.571428571,0.326530612
100,TREHAN,0.3623007901432971,0.3644314868804663,0.13008900023498857,0.4027321077836376,0.789473684,0.663157894,0.571428571,0.326530612
107,TROSTLE,0.04402035623409655,0.5860058309037902,0.06477860993821007,0.2876657912740265,0.736842105,0.589473684,0.571428571,0.326530612
74,TANANA,0.02415662671026756,0.1559982039832207,0.6607353832561108,0.581163242336636,0.210526315,0.084210526,0.571428571,0.326530612
96,TUBERA,0.49508504084639043,0.3323615160349852,0.14755800947485567,0.2772052170458809,0.789473684,0.663157894,0.571428571,0.326530612
116,TAMILIO,0.19702691844114084,0.6841593780369293,0.09305882312652528,0.585792156776201,0.473684210,0.284210526,0.571428571,0.326530612
67,TRAHEY,0.36282308825498844,0.40233236151603496,0.1296870584294687,0.2074680555249047,0.789473684,0.663157894,0.571428571,0.326530612
92,TANTON,0.025967590732556296,0.19436345966958216,0.05811049844665029,0.3242778010725397,0.789473684,0.663157894,0.571428571,0.326530612
122,TAMKIN,0.06412616355847567,0.4417770724926497,0.0227354448976237,0.5689978593339646,0.315789473,0.151578947,0.571428571,0.326530612
114,TASSELL,0.004941743672157431,0.23809523809523797,0.12753306259989308,0.3242778010725397,0.842105263,0.741052631,0.571428571,0.326530612
60,TYBERG,0.5304004285522966,0.4305150631681242,0.1719527852098194,0.6189173084986641,0.736842105,0.589473684,0.571428571,0.326530612
124,TAGLIERI,0.7320342841837417,0.6929057337220602,0.27433457741562617,0.8106945026813491,0.315789473,0.151578947,0.571428571,0.326530612
133,TABRON,0.42409267443417686,0.3488824101068997,0.13655098772371718,0.3835543883653702,0.736842105,0.589473684,0.571428571,0.326530612
126,TUSCAN,0.1004778832771366,0.03878043079799728,0.03458088907609666,0.3343797585681813,0.315789473,0.151578947,0.571428571,0.326530612
81,TREBUS,0.36897013526181843,0.3790087463556849,0.1313566628523947,0.32602123011056355,0.736842105,0.589473684,0.571428571,0.326530612
129,TAMLYN,0.066956337844321,0.3361842024332336,0.011670793223543679,0.5290258866109051,0.315789473,0.151578947,0.571428571,0.326530612
49,TROPEA,0.03690906655952843,0.08454810495626784,0.06303686211429342,0.21444177167700254,0.789473684,0.663157894,0.571428571,0.326530612
88,TRYTTEN,0.12621644942387852,0.5008703300488369,0.07288081613363946,0.5672599474764408,0.315789473,0.151578947,0.571428571,0.326530612
53,TWOHIG,0.20729026281037402,0.5260576201547524,1.0,1.0,0.210526315,0.084210526,0.571428571,0.326530612
56,TARONE,0.0006428284451586061,0.05150631681243885,0.05521445620688476,0.1429611811180024,0.789473684,0.663157894,0.571428571,0.326530612
182,TABAHA,0.4274055476061018,0.6432081620390382,0.5976607207668923,0.7116930322918308,0.210526315,0.084210526,0.714285714,0.510204081
63,TROSCH,0.03919914289540633,0.2507288629737607,0.06337696671896344,0.18480347803058725,0.894736842,0.823157894,0.714285714,0.510204081
106,TARZIAN,0.1565792114113877,0.3679876637450835,0.4847210230520779,0.5020690645180137,0.210526315,0.084210526,0.714285714,0.510204081
16,TANIELU,0.4039908932636936,0.5034013605442178,0.21555831800856853,0.6328647408028597,0.421052631,0.235789473,0.714285714,0.510204081
